0Northridge, [34.243689,-118.535640]
1Winnetka, [34.210034,-118.571521]
2Granada Hills, [34.265814,-118.526196]
3Porter Ranch, [34.273601,-118.554922]
4Reseda, [34.203311,-118.535677]
5Chatsworth, [34.256726,-118.600793]
6Canoga Park, [34.218416,-118.598400]
7North Hills, [34.236373,-118.466520]
8Tarzana, [34.172675,-118.541652]
9Encino, [34.176279,-118.519337]
10West Hills, [34.200541,-118.630173]
11Mission Hills, [34.268628,-118.468120]
12Van Nuys, [34.202057,-118.476116]
13Woodland Hills, [34.170057,-118.608636]
14Panorama City, [34.224525,-118.447225]
15Balboa Van Nuys, [34.160040,-118.500507]
16Civic Center Van Nuys, [34.189540,-118.448980]
17San Fernando, [34.282136,-118.442553]
18Calabasas, [34.154324,-118.641864]
19Sherman Oaks, [34.164363,-118.458005]
20Valley Village, [34.164719,-118.404642]
21Valley Plaza, [34.187314,-118.398483]
22North Hollywood, [34.198664,-118.397087]
23Arleta, [34.241801,-118.425418]
24Pacoima, [34.262476,-118.427655]
25Studio City, [34.142350,-118.394123]
26Toluca Lake, [34.152470,-118.350381]
27Chandler, [34.167841,-118.377927]
28Burbank, [34.187958,-118.348218]
29Sun Valley, [34.217020,-118.368881]
30Downtown Burbank, [34.180514,-118.309706]
